thresh,session,group,sid,stimulus,block_top,block_real,block,day,bout,time
5.85,0h,TL24hrL,2057,L4k,1,6,1,1,1,first
5.208,0h,TL24hrL,2057,L4k,2,7,2,1,1,NA
5.188,0h,TL24hrL,2057,L4k,3,8,3,1,1,NA
3.562,0h,TL24hrL,2057,L4k,4,9,4,1,1,NA
5.0625,0h,TL24hrL,2057,L4k,5,10,5,1,1,last
4.625,24h,TL24hrL,2057,L4k,1,1,1,2,2,first
3.438,24h,TL24hrL,2057,L4k,2,2,2,2,2,NA
3.781,24h,TL24hrL,2057,L4k,3,3,3,2,2,NA
2.625,24h,TL24hrL,2057,L4k,4,4,4,2,2,NA
3.333,24h,TL24hrL,2057,L4k,5,5,5,2,2,last
3.625,0h,TL24hrL,2059,L4k,1,6,1,1,1,first
4.35,0h,TL24hrL,2059,L4k,2,7,2,1,1,NA
3.281,0h,TL24hrL,2059,L4k,3,8,3,1,1,NA
5.625,0h,TL24hrL,2059,L4k,4,9,4,1,1,NA
5.714,0h,TL24hrL,2059,L4k,5,10,5,1,1,last
4.396,24h,TL24hrL,2059,L4k,1,1,1,2,2,first
5.042,24h,TL24hrL,2059,L4k,2,2,2,2,2,NA
4.542,24h,TL24hrL,2059,L4k,3,3,3,2,2,NA
4.906,24h,TL24hrL,2059,L4k,4,4,4,2,2,NA
3.375,24h,TL24hrL,2059,L4k,5,5,5,2,2,last
4.5,0h,TL24hrL,2068,L4k,1,6,1,1,1,first
5.292,0h,TL24hrL,2068,L4k,2,7,2,1,1,NA
4.688,0h,TL24hrL,2068,L4k,3,8,3,1,1,NA
3.458,0h,TL24hrL,2068,L4k,4,9,4,1,1,NA
4.562,0h,TL24hrL,2068,L4k,5,10,5,1,1,last
3.417,24h,TL24hrL,2068,L4k,1,1,1,2,2,first
3.125,24h,TL24hrL,2068,L4k,2,2,2,2,2,NA
3.417,24h,TL24hrL,2068,L4k,3,3,3,2,2,NA
2.562,24h,TL24hrL,2068,L4k,4,4,4,2,2,NA
3.312,24h,TL24hrL,2068,L4k,5,5,5,2,2,last
6.2,0h,TL24hrL,2069,L4k,1,6,1,1,1,first
